dirAndDomain,itemAndType,value,unit,citation,createdAt,updatedAt
baseline_mobility,private-car-driving_amount,4341.7,kgCO2e/year,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-11T22:41:34.840Z,2022-06-11T22:41:34.840Z
baseline_mobility,private-car-driving_intensity,0.17,kgCO2e/km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-11T22:41:34.840Z,2022-06-11T22:41:34.840Z
